//X,Y,Z,R,G,B,Scalar field,Scalar field #2,Scalar field #3,Scalar field #4,Scalar field #5,Scalar field #6,Scalar field #7,(SF#6) - (SF#4)
1900.09387207,21210.01953125,38.86406708,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.26025391,21210.26757812,38.75427628,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.33654785,21210.27343750,38.70986176,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.28735352,21209.74804688,38.75403976,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.33666992,21209.75195312,38.72558594,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.69934082,21210.22851562,39.24901962,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.73498535,21209.71093750,39.25152588,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.46655273,21209.85546875,38.64503479,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.71972656,21209.94531250,39.35621643,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.01293945,21209.87109375,38.91906357,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.69091797,21210.37109375,39.12543106,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.95800781,21210.38867188,38.93370819,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.72448730,21209.85156250,39.37365723,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.95324707,21209.86718750,38.95798111,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.47497559,21210.37695312,38.62191391,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.46667480,21209.61718750,38.65581131,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.21704102,21209.83789062,38.79602051,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.70971680,21210.08593750,39.37231064,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.46301270,21210.37695312,38.63016510,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.90747070,21209.62695312,38.99459839,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.48876953,21210.09375000,38.62649155,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.21569824,21209.60156250,38.80024338,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.73754883,21209.61523438,39.37684250,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.07617188,21210.11328125,38.87216187,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.46350098,21210.09179688,38.64209366,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.21618652,21210.12304688,38.78944397,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.08923340,21209.59179688,38.87505341,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.05603027,21210.39648438,38.87270737,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.68859863,21210.36914062,39.37319946,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.71557617,21210.08789062,39.12539291,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.49829102,21209.81054688,38.62896347,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.95874023,21210.10546875,38.94878387,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.21533203,21210.35937500,38.77909470,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.72949219,21209.80468750,39.17841339,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.79284668,21209.80859375,39.07154846,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.97583008,21210.15429688,38.93584824,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.73291016,21209.66210938,39.43960190,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.49719238,21210.04687500,38.55943680,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.72119141,21209.89843750,39.43738937,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.27014160,21209.55664062,38.76919174,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.16186523,21210.21289062,38.81762314,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.68945312,21210.41796875,39.30139923,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.78125000,21210.04492188,39.07089233,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.15649414,21210.30859375,38.81585693,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.26635742,21210.03125000,38.75961685,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.15100098,21210.16601562,38.82417679,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.14904785,21209.92773438,38.83404541,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.90576172,21209.81640625,38.99204254,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.48657227,21210.28320312,38.61966324,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.09509277,21210.06640625,38.86092377,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.73681641,21209.66210938,39.31053925,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.79016113,21209.90429688,39.07016754,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.02172852,21210.06250000,38.90753937,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.98620605,21209.91796875,38.93577957,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.41748047,21209.56640625,38.68552017,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.70385742,21210.18164062,39.31616592,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.38183594,21210.18164062,38.68792725,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.17858887,21209.92968750,38.81663132,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.79809570,21209.52539062,39.06963348,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.68457031,21210.46289062,39.43463516,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.40905762,21209.80468750,38.68414688,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.40197754,21209.80273438,38.68801117,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.90258789,21210.43359375,38.96434402,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.14929199,21210.30664062,38.82043839,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.36767578,21210.41796875,38.68671417,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.71044922,21210.03906250,39.43748474,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.15551758,21209.54882812,38.83860779,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.89929199,21210.29101562,38.97305679,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.26818848,21209.65234375,38.76761246,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.47753906,21210.42578125,38.62059784,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.15563965,21210.45117188,38.81395721,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.99145508,21209.68164062,38.93550491,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.72253418,21209.80273438,39.43879700,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.48425293,21210.28320312,38.56578445,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.40307617,21209.56640625,38.69277191,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.49340820,21209.80859375,38.63362503,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.76635742,21210.28125000,39.06195068,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.00939941,21209.77734375,38.92593384,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.49279785,21210.14257812,38.56556320,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.73681641,21209.66406250,39.17844391,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.95227051,21210.43750000,38.93636703,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.74645996,21209.52148438,39.42681122,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.28991699,21210.31640625,38.73540878,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.72119141,21209.89843750,39.31497955,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.01538086,21209.68164062,38.92152405,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.90319824,21209.91210938,38.99067307,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.90087891,21209.53320312,39.00162506,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.27233887,21210.17382812,38.75229645,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.69665527,21210.27539062,39.18189240,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.02038574,21210.15625000,38.90711975,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.77648926,21210.14062500,39.06899643,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.79418945,21209.66796875,39.06969452,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.49438477,21210.04687500,38.62520981,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.18176270,21209.64648438,38.81876373,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.69335938,21210.27539062,39.43534470,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.49719238,21209.90429688,38.62857437,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.39855957,21210.04101562,38.68409729,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.39416504,21210.18164062,38.67938232,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.01757812,21210.29882812,38.90211105,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.49987793,21209.90625000,38.50938416,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.90466309,21209.67578125,38.99679947,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.26940918,21210.31640625,38.74798965,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.76867676,21210.42382812,39.05116653,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.97949219,21210.05859375,38.93730545,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.15783691,21210.16601562,38.81989670,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.02343750,21209.91992188,38.91194534,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.41503906,21209.66210938,38.68389511,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.40087891,21209.66015625,38.69122696,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.40539551,21209.89843750,38.68263245,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.96374512,21210.29492188,38.93504333,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.47509766,21210.42578125,38.55182648,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.40124512,21210.41992188,38.66737366,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.20715332,21209.93164062,38.79948044,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.42248535,21209.56640625,38.68050385,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.99987793,21209.53906250,38.93664169,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.49560547,21210.14257812,38.61962509,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.72375488,21209.90039062,39.17612839,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.71203613,21210.03906250,39.31570053,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.15344238,21209.78710938,38.83198166,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.99194336,21209.77539062,38.93452072,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.39770508,21209.89843750,38.68605042,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.68933105,21210.41796875,39.17700577,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.02172852,21210.44140625,38.89425278,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.49475098,21209.66796875,38.63766098,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.16784668,21210.02539062,38.81981277,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.26916504,21210.45898438,38.74650955,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.14672852,21210.44921875,38.81760025,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.90454102,21210.05468750,38.98723984,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.40295410,21210.27734375,38.67004776,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1899.69641113,21210.27539062,39.30607986,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
1900.26928711,21209.79492188,38.76387787,155,222,67,935092.000000,0.425000,0.544000,0.031000,1.606000,1.873000,2.166000,0.560000
