//X,Y,Z,R,G,B,Scalar field,Scalar field #2,Scalar field #3,Scalar field #4,Scalar field #5,Scalar field #6,Scalar field #7,(SF#6) - (SF#4)
1891.01745605,21304.95507812,38.99530411,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.74291992,21305.24414062,38.51460266,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.03503418,21304.72265625,39.24480057,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.01928711,21304.95507812,39.25122452,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.25000000,21305.23828125,38.50137329,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.75500488,21304.97656250,39.29445267,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.26794434,21304.73632812,38.51091003,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.83129883,21305.36523438,38.65634918,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.01257324,21304.95312500,39.12257767,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.02978516,21304.83789062,38.86433029,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.14367676,21305.38476562,38.50414658,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.03173828,21304.83789062,38.62647247,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.62133789,21305.12109375,38.53142166,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.03942871,21304.60546875,39.12134552,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.87573242,21305.09960938,38.54773331,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.03515625,21304.60546875,39.37218475,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.03149414,21304.83984375,39.12345123,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.02392578,21304.83984375,39.38598251,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.38317871,21305.09179688,38.50160599,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.01696777,21304.95507812,39.36368561,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.84655762,21305.06054688,39.36846161,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.64172363,21305.39062500,38.52563095,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.03784180,21304.60546875,38.62261581,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.87866211,21305.36718750,38.50801849,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.14746094,21305.11523438,38.50397873,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.40490723,21304.86132812,38.51029205,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.85229492,21305.06054688,38.85898209,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1890.84716797,21305.06054688,39.12256241,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.03857422,21304.60546875,38.86220169,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.01037598,21304.99218750,38.86944580,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.39465332,21304.62695312,38.51231766,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.29663086,21305.39453125,38.50085831,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.30114746,21304.81640625,38.51242828,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.02636719,21304.91601562,38.80927277,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.02026367,21304.95507812,39.06019211,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
1891.02575684,21304.79882812,38.67122650,20,84,203,926554.000000,0.557000,0.321000,0.122000,1.565000,1.923000,2.156000,0.591000
