//X,Y,Z,R,G,B,Scalar field,Scalar field #2,Scalar field #3,Scalar field #4,Scalar field #5,Scalar field #6,Scalar field #7,(SF#6) - (SF#4)
1901.99499512,21164.03320312,52.97644424,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.86437988,21163.76562500,52.58844376,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.59558105,21163.74804688,52.60794449,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.67224121,21163.61523438,53.24771881,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.39929199,21163.75976562,52.89303207,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.74523926,21164.32617188,52.69098282,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.79724121,21164.12500000,53.12337112,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.14953613,21164.34765625,53.08140182,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.09863281,21163.76367188,53.47283173,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.03515625,21163.57617188,52.61100388,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.37072754,21164.05859375,52.89160919,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.76257324,21163.61718750,52.80518341,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.49499512,21163.87109375,52.80897141,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.58789062,21163.81054688,53.07545471,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.80920410,21164.10156250,53.12152481,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.61914062,21163.66210938,53.20874405,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.92041016,21164.13085938,53.30337524,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.66870117,21164.11718750,53.05851746,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.83911133,21163.76562500,53.10696411,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.12194824,21163.55273438,52.93923187,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.75354004,21164.36328125,52.53823471,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.48767090,21163.57812500,52.77493286,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.72937012,21163.61718750,52.98858643,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.95312500,21163.65429688,52.53710556,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.90332031,21164.13085938,53.26338577,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.01623535,21164.47070312,53.31734467,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.87731934,21164.17968750,53.37533569,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.75671387,21164.08007812,52.86702728,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.43103027,21163.86718750,52.93318939,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.63159180,21163.58398438,53.32604218,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.81042480,21164.17773438,53.11476135,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.05871582,21163.55468750,53.43563080,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.64880371,21163.88476562,52.55987549,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.77807617,21164.39453125,52.76496124,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.49230957,21163.54687500,52.92524719,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.63891602,21163.84960938,52.83370590,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
