Class;Value;Class_start;Class_end;
1;223;1.070000052452;1.075290154272;
2;0;1.075290154272;1.080580256091;
3;235;1.080580256091;1.085870357911;
4;303;1.085870357911;1.091160459730;
5;0;1.091160459730;1.096450561549;
6;0;1.096450561549;1.101740663369;
7;0;1.101740663369;1.107030765188;
8;0;1.107030765188;1.112320867008;
9;0;1.112320867008;1.117610968827;
10;0;1.117610968827;1.122901070647;
11;116;1.122901070647;1.128191172466;
12;0;1.128191172466;1.133481274286;
13;0;1.133481274286;1.138771376105;
14;0;1.138771376105;1.144061477925;
15;0;1.144061477925;1.149351579744;
16;0;1.149351579744;1.154641681564;
17;126;1.154641681564;1.159931783383;
18;167;1.159931783383;1.165221885203;
19;0;1.165221885203;1.170511987022;
20;111;1.170511987022;1.175802088842;
21;0;1.175802088842;1.181092190661;
22;0;1.181092190661;1.186382292481;
23;0;1.186382292481;1.191672394300;
24;0;1.191672394300;1.196962496120;
25;105;1.196962496120;1.202252597939;
26;232;1.202252597939;1.207542699759;
27;233;1.207542699759;1.212832801578;
28;0;1.212832801578;1.218122903397;
29;132;1.218122903397;1.223413005217;
30;0;1.223413005217;1.228703107036;
31;0;1.228703107036;1.233993208856;
32;0;1.233993208856;1.239283310675;
33;0;1.239283310675;1.244573412495;
34;126;1.244573412495;1.249863514314;
35;392;1.249863514314;1.255153616134;
36;395;1.255153616134;1.260443717953;
37;247;1.260443717953;1.265733819773;
38;0;1.265733819773;1.271023921592;
39;0;1.271023921592;1.276314023412;
40;297;1.276314023412;1.281604125231;
41;0;1.281604125231;1.286894227051;
42;0;1.286894227051;1.292184328870;
43;107;1.292184328870;1.297474430690;
44;0;1.297474430690;1.302764532509;
45;0;1.302764532509;1.308054634329;
46;229;1.308054634329;1.313344736148;
47;108;1.313344736148;1.318634837968;
48;0;1.318634837968;1.323924939787;
49;111;1.323924939787;1.329215041606;
50;0;1.329215041606;1.334505143426;
51;0;1.334505143426;1.339795245245;
52;129;1.339795245245;1.345085347065;
53;305;1.345085347065;1.350375448884;
54;118;1.350375448884;1.355665550704;
55;245;1.355665550704;1.360955652523;
56;0;1.360955652523;1.366245754343;
57;136;1.366245754343;1.371535856162;
58;153;1.371535856162;1.376825957982;
59;803;1.376825957982;1.382116059801;
60;232;1.382116059801;1.387406161621;
61;375;1.387406161621;1.392696263440;
62;256;1.392696263440;1.397986365260;
63;180;1.397986365260;1.403276467079;
64;202;1.403276467079;1.408566568899;
65;0;1.408566568899;1.413856670718;
66;121;1.413856670718;1.419146772538;
67;126;1.419146772538;1.424436874357;
68;101;1.424436874357;1.429726976177;
69;372;1.429726976177;1.435017077996;
70;418;1.435017077996;1.440307179816;
71;169;1.440307179816;1.445597281635;
72;102;1.445597281635;1.450887383454;
73;216;1.450887383454;1.456177485274;
74;0;1.456177485274;1.461467587093;
75;0;1.461467587093;1.466757688913;
76;244;1.466757688913;1.472047790732;
77;0;1.472047790732;1.477337892552;
78;270;1.477337892552;1.482627994371;
79;108;1.482627994371;1.487918096191;
80;414;1.487918096191;1.493208198010;
81;102;1.493208198010;1.498498299830;
82;281;1.498498299830;1.503788401649;
83;1117;1.503788401649;1.509078503469;
84;0;1.509078503469;1.514368605288;
85;0;1.514368605288;1.519658707108;
86;119;1.519658707108;1.524948808927;
87;347;1.524948808927;1.530238910747;
88;759;1.530238910747;1.535529012566;
89;1026;1.535529012566;1.540819114386;
90;0;1.540819114386;1.546109216205;
91;245;1.546109216205;1.551399318025;
92;571;1.551399318025;1.556689419844;
93;510;1.556689419844;1.561979521664;
94;0;1.561979521664;1.567269623483;
95;105;1.567269623483;1.572559725302;
96;431;1.572559725302;1.577849827122;
97;170;1.577849827122;1.583139928941;
98;0;1.583139928941;1.588430030761;
99;220;1.588430030761;1.593720132580;
100;578;1.593720132580;1.599010234400;
101;1020;1.599010234400;1.604300336219;
102;440;1.604300336219;1.609590438039;
103;377;1.609590438039;1.614880539858;
104;395;1.614880539858;1.620170641678;
105;229;1.620170641678;1.625460743497;
106;355;1.625460743497;1.630750845317;
107;217;1.630750845317;1.636040947136;
108;580;1.636040947136;1.641331048956;
109;696;1.641331048956;1.646621150775;
110;673;1.646621150775;1.651911252595;
111;885;1.651911252595;1.657201354414;
112;422;1.657201354414;1.662491456234;
113;577;1.662491456234;1.667781558053;
114;451;1.667781558053;1.673071659873;
115;236;1.673071659873;1.678361761692;
116;101;1.678361761692;1.683651863512;
117;0;1.683651863512;1.688941965331;
118;737;1.688941965331;1.694232067150;
119;1433;1.694232067150;1.699522168970;
120;0;1.699522168970;1.704812270789;
121;513;1.704812270789;1.710102372609;
122;716;1.710102372609;1.715392474428;
123;352;1.715392474428;1.720682576248;
124;107;1.720682576248;1.725972678067;
125;741;1.725972678067;1.731262779887;
