x,y,z,old_gid,gid,dim1,dim2,dim3,dim01
1891.125,21293.834,41.165,6840,9501,2,1.7,1.726,1
1891.13,21293.834,41.191,6840,9501,2,1.7,1.726,1
1891.133,21293.834,41.177,6840,9501,2,1.7,1.726,1
1891.125,21293.834,41.165,6840,9501,2,1.7,1.726,1
1891.13,21293.834,41.191,6840,9501,2,1.7,1.726,1
1891.133,21293.834,41.177,6840,9501,2,1.7,1.726,1
1891.221,21298.992,38.682,2861,600,2.322,1.485,1.55,1
1891.224,21298.912,38.683,2861,600,2.322,1.485,1.55,1
1890.454,21298.387,40.237,5154,8661,2,2,1.954,2
1890.462,21298.428,40.172,5154,8661,2,2,1.954,2
1890.388,21298.383,40.205,5154,8661,2,2,1.954,2
1890.452,21298.426,40.157,5154,8661,2,2,1.954,2
1890.484,21298.428,40.201,5154,8661,2,2,1.954,2
1890.422,21298.385,40.178,5154,8661,2,2,1.954,2
1890.395,21298.383,40.149,5154,8661,2,2,1.954,2
1890.461,21298.387,40.137,5154,8661,2,2,1.954,2
1890.41,21298.383,40.22,5154,8661,2,2,1.954,2
1890.487,21298.428,40.145,5154,8661,2,2,1.954,2
1890.388,21298.383,40.162,5154,8661,2,2,1.954,2
1890.452,21298.426,40.157,5154,8661,2,2,1.954,2
1890.461,21298.387,40.137,5154,8661,2,2,1.954,2
1890.454,21298.387,40.237,5154,8661,2,2,1.954,2
1890.41,21298.383,40.22,5154,8661,2,2,1.954,2
1890.388,21298.383,40.162,5154,8661,2,2,1.954,2
1890.422,21298.385,40.178,5154,8661,2,2,1.954,2
1890.462,21298.428,40.172,5154,8661,2,2,1.954,2
1890.484,21298.428,40.201,5154,8661,2,2,1.954,2
1890.387,21298.383,40.191,5154,8661,2,2,1.954,2
1890.395,21298.383,40.149,5154,8661,2,2,1.954,2
1890.487,21298.428,40.145,5154,8661,2,2,1.954,2
1890.387,21298.383,40.191,5154,8661,2,2,1.954,2
1890.044,21298.68,38.503,2809,2500,2,1.907,1.708,1.585
1890.123,21298.725,38.533,2809,2500,2,1.907,1.708,1.585
1890.117,21298.725,38.515,2809,2500,2,1.907,1.708,1.585
1890.084,21298.723,38.618,2809,2500,2,1.907,1.708,1.585
1890.121,21298.725,38.549,2809,2500,2,1.907,1.708,1.585
1890.083,21298.723,38.602,2809,2500,2,1.907,1.708,1.585
1890.093,21298.723,38.573,2809,2500,2,1.907,1.708,1.585
1890.117,21298.725,38.5,2809,2500,2,1.907,1.708,1.585
1890.089,21298.723,38.556,2809,2500,2,1.907,1.708,1.585
1890.09,21298.723,38.588,2809,2500,2,1.907,1.708,1.585
1894.431,21303.279,38.105,674,3100,2,1.585,2,2
1894.472,21303.281,38.108,674,3100,2,1.585,2,2
1894.472,21303.32,38.104,674,3100,2,1.585,2,2
1894.403,21303.316,38.105,674,3100,2,1.585,2,2
1894.41,21303.277,38.105,674,3100,2,1.585,2,2
1894.452,21303.32,38.104,674,3100,2,1.585,2,2
1894.48,21303.281,38.106,674,3100,2,1.585,2,2
1894.407,21303.355,38.105,674,3100,2,1.585,2,2
1894.393,21303.316,38.104,674,3100,2,1.585,2,2
1894.484,21303.322,38.107,674,3100,2,1.585,2,2
1894.39,21303.275,38.105,674,3100,2,1.585,2,2
1894.387,21303.354,38.105,674,3100,2,1.585,2,2
1894.414,21303.316,38.105,674,3100,2,1.585,2,2
1894.456,21303.359,38.105,674,3100,2,1.585,2,2
1894.486,21303.361,38.106,674,3100,2,1.585,2,2
1894.45,21303.279,38.105,674,3100,2,1.585,2,2
1894.497,21303.361,38.107,674,3100,2,1.585,2,2
1894.442,21303.279,38.107,674,3100,2,1.585,2,2
1894.492,21303.322,38.106,674,3100,2,1.585,2,2
1894.378,21303.275,38.103,674,3100,2,1.585,2,2
1894.423,21303.318,38.105,674,3100,2,1.585,2,2
1894.477,21303.359,38.106,674,3100,2,1.585,2,2
1894.491,21303.283,38.107,674,3100,2,1.585,2,2
1894.442,21303.318,38.104,674,3100,2,1.585,2,2
1894.42,21303.277,38.105,674,3100,2,1.585,2,2
1894.416,21303.355,38.104,674,3100,2,1.585,2,2
1894.445,21303.357,38.104,674,3100,2,1.585,2,2
1894.381,21303.314,38.103,674,3100,2,1.585,2,2
1894.434,21303.318,38.106,674,3100,2,1.585,2,2
1894.401,21303.277,38.106,674,3100,2,1.585,2,2
1894.397,21303.355,38.105,674,3100,2,1.585,2,2
1894.499,21303.283,38.106,674,3100,2,1.585,2,2
1894.465,21303.32,38.107,674,3100,2,1.585,2,2
1894.461,21303.281,38.106,674,3100,2,1.585,2,2
1894.467,21303.359,38.106,674,3100,2,1.585,2,2
1894.437,21303.357,38.105,674,3100,2,1.585,2,2
1894.429,21303.357,38.107,674,3100,2,1.585,2,2
1895.067,21295.418,38.181,731,6800,2,1.907,1.976,2
1895.088,21295.463,38.182,731,6800,2,1.907,1.976,2
1895.03,21295.459,38.178,731,6800,2,1.907,1.976,2
1895.082,21295.375,38.182,731,6800,2,1.907,1.976,2
1895.079,21295.461,38.182,731,6800,2,1.907,1.976,2
1895.062,21295.375,38.18,731,6800,2,1.907,1.976,2
1895.098,21295.463,38.184,731,6800,2,1.907,1.976,2
1895.019,21295.414,38.179,731,6800,2,1.907,1.976,2
1895.092,21295.42,38.181,731,6800,2,1.907,1.976,2
1895.039,21295.459,38.178,731,6800,2,1.907,1.976,2
1895.103,21295.463,38.18,731,6800,2,1.907,1.976,2
1895.102,21295.42,38.182,731,6800,2,1.907,1.976,2
1895.083,21295.418,38.18,731,6800,2,1.907,1.976,2
1895.1,21295.377,38.183,731,6800,2,1.907,1.976,2
1895.107,21295.377,38.181,731,6800,2,1.907,1.976,2
1895.012,21295.457,38.178,731,6800,2,1.907,1.976,2
1895.047,21295.416,38.18,731,6800,2,1.907,1.976,2
1895.038,21295.416,38.18,731,6800,2,1.907,1.976,2
1895.059,21295.461,38.18,731,6800,2,1.907,1.976,2
1895.074,21295.418,38.179,731,6800,2,1.907,1.976,2
1895.112,21295.42,38.183,731,6800,2,1.907,1.976,2
1895.113,21295.463,38.181,731,6800,2,1.907,1.976,2
1895.01,21295.414,38.179,731,6800,2,1.907,1.976,2
1895.07,21295.461,38.183,731,6800,2,1.907,1.976,2
1895.05,21295.461,38.181,731,6800,2,1.907,1.976,2
1895.071,21295.375,38.181,731,6800,2,1.907,1.976,2
1895.002,21295.414,38.181,731,6800,2,1.907,1.976,2
1895.091,21295.375,38.182,731,6800,2,1.907,1.976,2
1895.12,21295.42,38.183,731,6800,2,1.907,1.976,2
1895.057,21295.418,38.181,731,6800,2,1.907,1.976,2
1895.023,21295.459,38.18,731,6800,2,1.907,1.976,2
1895.029,21295.416,38.18,731,6800,2,1.907,1.976,2
1895.117,21295.377,38.182,731,6800,2,1.907,1.976,2
1895.123,21295.465,38.183,731,6800,2,1.907,1.976,2
1895.003,21295.457,38.178,731,6800,2,1.907,1.976,2
1895.927,21302.311,38.143,813,7600,2,2,2,2
1895.964,21302.273,38.144,813,7600,2,2,2,2
1895.96,21302.313,38.143,813,7600,2,2,2,2
1895.903,21302.309,38.139,813,7600,2,2,2,2
1895.909,21302.27,38.142,813,7600,2,2,2,2
1895.956,21302.352,38.143,813,7600,2,2,2,2
1895.977,21302.354,38.142,813,7600,2,2,2,2
1895.893,21302.309,38.14,813,7600,2,2,2,2
1895.953,21302.273,38.143,813,7600,2,2,2,2
1895.976,21302.314,38.143,813,7600,2,2,2,2
1895.983,21302.354,38.143,813,7600,2,2,2,2
1895.894,21302.348,38.141,813,7600,2,2,2,2
1895.975,21302.273,38.143,813,7600,2,2,2,2
1895.914,21302.311,38.137,813,7600,2,2,2,2
1895.915,21302.27,38.143,813,7600,2,2,2,2
1895.893,21302.27,38.142,813,7600,2,2,2,2
1895.912,21302.35,38.143,813,7600,2,2,2,2
1895.954,21302.313,38.142,813,7600,2,2,2,2
1895.986,21302.275,38.143,813,7600,2,2,2,2
1895.943,21302.352,38.138,813,7600,2,2,2,2
1895.944,21302.313,38.144,813,7600,2,2,2,2
1895.923,21302.35,38.142,813,7600,2,2,2,2
1895.992,21302.354,38.139,813,7600,2,2,2,2
1895.883,21302.348,38.14,813,7600,2,2,2,2
1895.922,21302.311,38.144,813,7600,2,2,2,2
1895.885,21302.268,38.139,813,7600,2,2,2,2
1895.937,21302.271,38.142,813,7600,2,2,2,2
1895.981,21302.314,38.143,813,7600,2,2,2,2
1895.92,21302.271,38.142,813,7600,2,2,2,2
1895.886,21302.309,38.137,813,7600,2,2,2,2
1895.931,21302.271,38.142,813,7600,2,2,2,2
1895.947,21302.271,38.14,813,7600,2,2,2,2
1895.88,21302.307,38.137,813,7600,2,2,2,2
1895.938,21302.352,38.14,813,7600,2,2,2,2
1895.988,21302.354,38.143,813,7600,2,2,2,2
1895.998,21302.314,38.142,813,7600,2,2,2,2
1895.96,21302.352,38.14,813,7600,2,2,2,2
1895.959,21302.273,38.143,813,7600,2,2,2,2
1895.942,21302.271,38.141,813,7600,2,2,2,2
1895.899,21302.309,38.142,813,7600,2,2,2,2
1895.876,21302.268,38.142,813,7600,2,2,2,2
1895.972,21302.354,38.142,813,7600,2,2,2,2
1895.997,21302.275,38.143,813,7600,2,2,2,2
1895.888,21302.348,38.14,813,7600,2,2,2,2
1895.878,21302.348,38.141,813,7600,2,2,2,2
1895.932,21302.311,38.141,813,7600,2,2,2,2
1895.965,21302.313,38.143,813,7600,2,2,2,2
1895.992,21302.314,38.143,813,7600,2,2,2,2
1895.992,21302.275,38.145,813,7600,2,2,2,2
1895.917,21302.35,38.142,813,7600,2,2,2,2
1895.896,21302.27,38.137,813,7600,2,2,2,2
1895.877,21302.307,38.141,813,7600,2,2,2,2
1895.997,21302.355,38.138,813,7600,2,2,2,2
1895.971,21302.313,38.145,813,7600,2,2,2,2
1895.938,21302.311,38.142,813,7600,2,2,2,2
1895.932,21302.35,38.137,813,7600,2,2,2,2
1895.949,21302.352,38.14,813,7600,2,2,2,2
1895.948,21302.313,38.141,813,7600,2,2,2,2
1895.907,21302.35,38.143,813,7600,2,2,2,2
1895.927,21302.35,38.14,813,7600,2,2,2,2
1895.91,21302.309,38.141,813,7600,2,2,2,2
1895.987,21302.314,38.144,813,7600,2,2,2,2
1895.9,21302.348,38.142,813,7600,2,2,2,2
1895.967,21302.354,38.143,813,7600,2,2,2,2
1895.981,21302.275,38.145,813,7600,2,2,2,2
1895.881,21302.268,38.141,813,7600,2,2,2,2
1895.926,21302.271,38.143,813,7600,2,2,2,2
1895.97,21302.273,38.145,813,7600,2,2,2,2
1895.902,21302.27,38.138,813,7600,2,2,2,2
1889.785,21298.027,40.857,6801,9300,2,2,0.644,1
1889.8,21298.068,40.786,6801,9300,2,2,0.644,1
1889.793,21298.027,40.841,6801,9300,2,2,0.644,1
1889.8,21298.068,40.786,6801,9300,2,2,0.644,1
